date,unix-date,time,distance,split
05-10-2020,1601856000,37:08,6.82,05.26
06-10-2020,1601942400,,,
07-10-2020,1602028800,,,
08-10-2020,1602115200,28:09,5.11,05.30
09-10-2020,1602201600,,,
10-10-2020,1602288000,,,
11-10-2020,1602374400,,,
12-10-2020,1602460800,,,
13-10-2020,1602547200,,,
14-10-2020,1602633600,,,
15-10-2020,1602720000,11:14,2.19,05.07
16-10-2020,1602806400,,,
17-10-2020,1602892800,,,
18-10-2020,1602979200,,,
19-10-2020,1603065600,22:53,4.17,05.29
20-10-2020,1603152000,27:05,4.77,05.40
21-10-2020,1603238400,,,
22-10-2020,1603324800,,,
23-10-2020,1603411200,,,
24-10-2020,1603497600,,,
25-10-2020,1603584000,,,
26-10-2020,1603670400,12:08,2.34,05.11
27-10-2020,1603756800,,,
28-10-2020,1603843200,,,
29-10-2020,1603929600,,,
30-10-2020,1604016000,,,
31-10-2020,1604102400,,,
01-11-2020,1604188800,29:46,5.30,05.36
02-11-2020,1604275200,,,
03-11-2020,1604361600,12:39,2.43,05.12
04-11-2020,1604448000,,,
05-11-2020,1604534400,12:37,2.52,05.00
06-11-2020,1604620800,,,
07-11-2020,1604707200,,,
08-11-2020,1604793600,,,
09-11-2020,1604880000,,,
10-11-2020,1604966400,,,
11-11-2020,1605052800,,,
12-11-2020,1605139200,26:03,4.79,05.26
13-11-2020,1605225600,,,
14-11-2020,1605312000,,,
15-11-2020,1605398400,,,
16-11-2020,1605484800,,,
17-11-2020,1605571200,,,
18-11-2020,1605657600,21:15,4.02,05.17
19-11-2020,1605744000,,,
20-11-2020,1605830400,,,
21-11-2020,1605916800,,,
22-11-2020,1606003200,,,
23-11-2020,1606089600,,,
24-11-2020,1606176000,,,
25-11-2020,1606262400,,,
26-11-2020,1606348800,22:24,4.34,05.09
27-11-2020,1606435200,,,
28-11-2020,1606521600,,,
29-11-2020,1606608000,,,
30-11-2020,1606694400,,,
01-12-2020,1606780800,,,
02-12-2020,1606867200,35:12,13.63,02.34
03-12-2020,1606953600,,,
04-12-2020,1607040000,,,
05-12-2020,1607126400,,,
06-12-2020,1607212800,,,
07-12-2020,1607299200,22:20,4.13,05.24
08-12-2020,1607385600,,,
09-12-2020,1607472000,,,
10-12-2020,1607558400,,,
11-12-2020,1607644800,25:15,4.51,05.35
12-12-2020,1607731200,,,
13-12-2020,1607817600,,,
14-12-2020,1607904000,,,
15-12-2020,1607990400,,,
16-12-2020,1608076800,,,
17-12-2020,1608163200,,,
18-12-2020,1608249600,,,
19-12-2020,1608336000,,,
20-12-2020,1608422400,,,
21-12-2020,1608508800,,,
22-12-2020,1608595200,,,
23-12-2020,1608681600,,,
24-12-2020,1608768000,,,
25-12-2020,1608854400,,,
26-12-2020,1608940800,,,
27-12-2020,1609027200,,,
28-12-2020,1609113600,,,
29-12-2020,1609200000,,,
30-12-2020,1609286400,,,
31-12-2020,1609372800,,,
01-01-2021,1609459200,,,
02-01-2021,1609545600,,,
03-01-2021,1609632000,,,
04-01-2021,1609718400,13:32,2.53,05.20
05-01-2021,1609804800,,,
06-01-2021,1609891200,,,
07-01-2021,1609977600,20:36,3.79,05.26
08-01-2021,1610064000,,,
09-01-2021,1610150400,25:13,5.01,05.01
10-01-2021,1610236800,,,
11-01-2021,1610323200,26:00,5.02,05.10
12-01-2021,1610409600,,,
